time,ax,yawrate,speed,course,latitude,longitude,altitude,latitudeGT,longitudeGT,altitudeGT
126641500,0.915310812,0.002800542,5.707052049,1.248654858,52.504575,13.3736776,80.242,52.50456028,13.37365776,76.00461098
126641700,0.804239438,-0.007354589,5.879380319,1.248469095,52.5045848,13.3736829,80.234,52.5045701,13.3736628,76.01096722
126642000,0.645004155,-0.018350515,6.095628388,1.24381734,52.5045997,13.3736918,80.236,52.50458533,13.37367066,76.020936
126642200,0.566129389,-0.016051659,6.216400915,1.240403348,52.5046099,13.3736973,80.233,52.50459546,13.37367613,76.02782923
126642400,0.509139956,-0.02228719,6.322823884,1.236705832,52.5046203,13.373703,80.218,52.50460613,13.37368176,76.03486763
126642600,0.498470109,-0.016481807,6.422934828,1.233166162,52.5046309,13.3737093,80.199,52.50461676,13.37368755,76.04199197
126642800,0.485954884,-0.00832125,6.522376927,1.230715467,52.5046417,13.3737162,80.135,52.50462769,13.37369349,76.04913003
126643000,0.453358161,-0.008329593,6.615828273,1.229430309,52.5046524,13.3737239,80.101,52.50463881,13.37369954,76.05619684
126643300,0.35120961,-0.004553931,6.738824484,1.227514334,52.5046689,13.3737346,80.078,52.50465554,13.37370884,76.06645051
126643500,0.22411989,0.004534132,6.796685762,1.228004325,52.5046805,13.3737405,80.077,52.50466714,13.37371512,76.07290161
126643700,0.098076821,0.001050437,6.82893325,1.228519987,52.5046918,13.3737467,80.139,52.50467859,13.37372144,76.07892446
126643900,-0.003087372,0.001214603,6.837790903,1.228901179,52.5047037,13.3737528,80.09,52.50469012,13.37372776,76.08442614
126644100,-0.068658131,0.000797505,6.829888136,1.229281901,52.5047153,13.3737585,80.075,52.50470166,13.37373408,76.0893321
126644300,-0.07945496,0.003391951,6.8142953,1.229489383,52.5047268,13.3737644,80.07,52.50471324,13.37374037,76.09359995
126644500,-0.048075002,0.001580956,6.80062918,1.2301181,52.504738,13.3737706,80.092,52.50472475,13.37374665,76.09722493
126644700,0.010993039,0.002804537,6.796828052,1.230591095,52.5047494,13.3737765,80.025,52.50473615,13.3737529,76.10024498
126644900,0.058513755,0.004547735,6.804221567,1.231364852,52.5047609,13.3737816,80.023,52.50474756,13.37375914,76.10274523
126645200,0.105841477,0.004388305,6.83005968,1.232326039,52.504778,13.3737906,80.043,52.50476481,13.37376852,76.10583167
126645500,0.109015864,0.005158073,6.863018754,1.233544717,52.5047955,13.373799,80.015,52.50478203,13.37377794,76.10867141
126645700,0.096479269,0.004245923,6.883967684,1.234190863,52.504807,13.3738052,80.019,52.5047936,13.3737842,76.11071123
126645900,0.074043041,0.001317471,6.901513984,1.234598312,52.5048193,13.3738099,79.972,52.50480517,13.37379046,76.11304365
126646100,0.029104042,-0.000405003,6.912238092,1.234634291,52.5048311,13.3738148,79.944,52.50481678,13.37379678,76.11580614
126646400,-0.052940913,-0.007924196,6.907980701,1.233594558,52.5048485,13.3738237,79.9,52.50483427,13.37380621,76.12101624
126646600,-0.125470796,-0.007724905,6.889815867,1.23163638,52.5048596,13.3738304,79.94,52.50484606,13.37381251,76.12534147
126646800,-0.204142069,-0.008118053,6.856874397,1.230049995,52.5048714,13.3738366,79.893,52.5048576,13.37381883,76.13042975
126647000,-0.286959631,-0.009986118,6.807923057,1.228484576,52.5048833,13.3738424,79.852,52.50486927,13.37382514,76.13631045
126647200,-0.369136464,-0.008710407,6.742106575,1.226957409,52.5048944,13.373849,79.861,52.5048808,13.37383143,76.14297892
126647500,-0.470054842,-0.007424908,6.616559602,1.224674101,52.5049111,13.3738586,79.868,52.50489778,13.3738408,76.15438139
126647700,-0.509384186,-0.012326544,6.51790389,1.222531071,52.5049225,13.3738639,79.841,52.50490885,13.37384697,76.16284961
126647900,-0.516620147,-0.021315531,6.414739442,1.218913723,52.5049334,13.3738698,79.827,52.50491967,13.3738531,76.1719507
126648100,-0.483538369,-0.021763104,6.314062172,1.214445546,52.5049445,13.3738754,79.777,52.50493028,13.3738592,76.18162716
126648400,-0.4223763,-0.015769047,6.179151229,1.20811244,52.5049603,13.3738839,79.76,52.50494587,13.37386832,76.19708195
126648600,-0.43148702,-0.006341856,6.095451126,1.205739315,52.5049717,13.3738882,79.609,52.50495604,13.37387437,76.20791065
126648800,-0.500673886,0.017353555,6.002255559,1.206711861,52.5049816,13.3738946,79.64,52.50496601,13.37388038,76.21906991
126649000,-0.589140301,0.066834254,5.894127952,1.21513479,52.5049919,13.3738998,79.619,52.50497592,13.37388621,76.2304736
126649200,-0.71825759,0.125109785,5.763573815,1.234772481,52.5050019,13.3739051,79.6,52.50498566,13.3738917,76.24203191
126649400,-0.819737949,0.194086591,5.608843529,1.267236107,52.5050114,13.3739107,79.626,52.50499526,13.37389662,76.25366341
126649600,-0.863040426,0.27725091,5.43920829,1.315064078,52.5050201,13.3739161,79.727,52.50500467,13.37390078,76.26530525
126649800,-0.824677293,0.333332769,5.268898578,1.377402817,52.5050287,13.373921,79.755,52.50501385,13.37390397,76.27691195
126650000,-0.709940746,0.391192606,5.114374575,1.450433133,52.5050379,13.3739239,79.646,52.50502277,13.37390605,76.2884518
126650200,-0.578835527,0.416061608,4.985401419,1.531807579,52.5050466,13.3739239,79.695,52.50503161,13.37390692,76.29990509
126650400,-0.457046124,0.4301591,4.882129216,1.61714245,52.5050547,13.3739242,79.717,52.5050403,13.37390654,76.31126084
126650600,-0.364666962,0.46354937,4.800753179,1.706099108,52.5050643,13.3739243,79.457,52.50504879,13.37390492,76.32251438
126650800,-0.308714418,0.490357289,4.734001188,1.802649853,52.5050732,13.3739226,79.381,52.50505691,13.37390208,76.33366621
126651000,-0.289853082,0.498044014,4.674578669,1.90135251,52.5050815,13.3739185,79.327,52.50506477,13.37389795,76.3447212
126651200,-0.292071714,0.520152332,4.616760483,2.00330494,52.5050895,13.3739143,79.26,52.50507227,13.3738926,76.35568782
126651400,-0.31457005,0.523432911,4.556476174,2.107769618,52.5050969,13.3739083,79.194,52.50507935,13.37388604,76.36657529
126651600,-0.362544245,0.517633735,4.48917443,2.212173517,52.5051065,13.3739024,78.843,52.5050859,13.37387838,76.37739285
126651900,-0.42648431,0.472915482,4.369675661,2.362292167,52.5051172,13.3738891,78.555,52.50509448,13.3738652,76.39350293
126652100,-0.422053363,0.44721603,4.284038227,2.455406608,52.5051265,13.3738796,77.965,52.50509949,13.37385554,76.40416762
126652300,-0.370727115,0.411924346,4.2038407,2.541177598,52.5051342,13.37387,77.527,52.50510379,13.37384537,76.41476477
126652500,-0.245628952,0.297779188,4.140811027,2.612275134,52.5051407,13.3738595,77.169,52.50510754,13.37383482,76.4252787
126652700,-0.069482036,0.219496175,4.108862322,2.663233094,52.5051429,13.3738488,77.426,52.50511076,13.37382406,76.43568287
126653000,0.209483385,0.138236345,4.129394085,2.714453145,52.505148,13.3738313,77.301,52.50511527,13.37380752,76.45100616
126653200,0.379088896,0.096133478,4.189179667,2.738560984,52.50515,13.3738201,77.44,52.50511803,13.37379621,76.46097524
126653500,0.482603456,0.043963744,4.324252336,2.759175748,52.505154,13.3738014,77.341,52.50512206,13.37377867,76.47545839
126653700,0.419967447,0.017990904,4.416018836,2.765184946,52.5051562,13.3737904,77.465,52.50512481,13.37376659,76.48474722
126654000,0.219055629,0.016371361,4.513441117,2.769121742,52.50516,13.3737732,77.431,52.50512888,13.37374803,76.49806439
126654200,0.072579136,0.008336845,4.542406196,2.770963156,52.5051621,13.3737621,77.444,52.5051316,13.37373548,76.50651135
126654400,-0.058556402,0.011406754,4.543558273,2.772366764,52.5051639,13.3737505,77.501,52.50513428,13.37372289,76.51460935
126654600,-0.174704505,0.003605805,4.519789694,2.773783328,52.5051655,13.3737393,77.601,52.50513692,13.37371031,76.52236411
126654800,-0.254333067,0.006967917,4.47615796,2.774622268,52.5051676,13.3737264,77.654,52.50513945,13.37369782,76.52978735
126655000,-0.283848911,0.003128085,4.421337885,2.77567958,52.5051701,13.3737138,77.571,52.50514209,13.37368547,76.53689514
126655200,-0.321897524,0.000800852,4.365938263,2.776376956,52.5051718,13.3737033,77.669,52.50514517,13.37367494,76.5437062
126655400,-0.294239084,0.002714353,4.304198469,2.777019548,52.5051736,13.373692,77.576,52.50514793,13.37366323,76.55024141
126655600,-0.281340245,-0.00025203,4.247300638,2.777027776,52.5051757,13.3736825,77.832,52.50515039,13.37365139,76.55652206
126655800,-0.309369066,0.002016611,4.189017665,2.777315732,52.5051784,13.3736703,77.842,52.50515289,13.37363968,76.56256987
126656000,-0.368800714,0.001508738,4.121391074,2.777271312,52.5051813,13.3736602,77.903,52.50515528,13.37362814,76.5684058
126656200,-0.424864773,0.00073239,4.041622787,2.777387131,52.5051833,13.3736491,77.89,52.50515767,13.3736168,76.5740502
126656400,-0.473133973,-0.000763961,3.951682297,2.7773893,52.5051848,13.3736373,77.886,52.50516001,13.3736057,76.57952263
126656600,-0.508993646,0.001030242,3.853190338,2.777470737,52.505187,13.3736267,77.948,52.50516237,13.37359485,76.58484161
126656800,-0.542783329,0.002801837,3.748356439,2.777548794,52.5051893,13.3736172,78.037,52.50516456,13.37358429,76.59002432
126657000,-0.611031157,0.01472498,3.633683109,2.778896701,52.5051914,13.3736074,78.069,52.50516665,13.37357403,76.59508705
126657200,-0.720705671,0.012794965,3.501133384,2.782031935,52.5051927,13.3735972,78.1,52.50516869,13.3735641,76.60004507
126657400,-0.876832349,0.011194044,3.342440837,2.784310712,52.5051948,13.3735886,78.156,52.50517061,13.37355458,76.60491845
126657600,-1.073113418,0.021691271,3.147816813,2.787437365,52.5051966,13.3735798,78.183,52.50517245,13.37354553,76.60972074
126657800,-1.251194908,0.043082233,2.914456569,2.793439575,52.5051974,13.3735721,78.343,52.50517411,13.37353706,76.61446169
126658000,-1.3394044,0.078478061,2.653344268,2.806424335,52.5051988,13.3735642,78.292,52.50517558,13.37352926,76.61914959
126658200,-1.267309853,0.11857968,2.389555344,2.826472931,52.5051996,13.3735571,78.318,52.50517686,13.37352217,76.62379136
126658500,-0.909848988,0.169475993,2.058864236,2.869441916,52.5052026,13.3735502,78.421,52.5051783,13.37351274,76.63068055
126658700,-0.679194107,0.172731868,1.901189621,2.904890884,52.5052039,13.3735448,78.445,52.50517905,13.37350708,76.63523216
126658900,-0.527598707,0.164656104,1.782168942,2.937744092,52.5052041,13.3735402,78.631,52.50517965,13.37350177,76.63975447
126659100,-0.452297789,0.150386319,1.685029934,2.969501879,52.505207,13.3735373,78.654,52.50518004,13.37349673,76.64424871
126659300,-0.409362872,0.146237048,1.599122553,2.999090618,52.5052078,13.3735332,78.715,52.50518029,13.37349193,76.64871632
126659500,-0.379479685,0.141448465,1.520441848,3.028011092,52.5052075,13.3735289,78.796,52.50518063,13.37348736,76.65315775
126659700,-0.358410995,0.119852362,1.446661089,3.054414332,52.505207,13.3735242,78.789,52.50518081,13.37348299,76.65757337
126659900,-0.325128281,0.068218191,1.37792891,3.0731566,52.5052071,13.37352,78.794,52.50518079,13.37347883,76.66196281
126660100,-0.266637146,0.03236041,1.318283268,3.082208672,52.5052069,13.3735158,78.798,52.50518078,13.37347486,76.66632528
126660300,-0.186031483,0.031561103,1.272769305,3.088486263,52.5052074,13.3735126,78.804,52.50518079,13.37347104,76.67066009
126660500,-0.099191315,0.028681753,1.244190018,3.094586662,52.5052067,13.3735084,78.862,52.50518079,13.37346734,76.67496674
126660700,-0.008650354,0.004805231,1.233274983,3.09811366,52.5052054,13.3735037,78.933,52.50518067,13.3734637,76.67924443
126660900,0.098609438,-0.019587297,1.241876099,3.096449988,52.5052052,13.373501,79.053,52.50518059,13.37346006,76.68349268
126661100,0.223709122,-0.033039554,1.273966513,3.090639435,52.5052051,13.3734974,79.123,52.50518053,13.37345635,76.68771101
126661300,0.333970562,-0.047897617,1.330347298,3.082552581,52.5052042,13.3734931,79.21,52.50518049,13.37345252,76.69190004
126661500,0.385538717,-0.0684399,1.403634756,3.070622457,52.5052036,13.3734886,79.173,52.50518055,13.37344849,76.69606054
126661700,0.356577196,-0.081455502,1.479094969,3.055510719,52.5052031,13.3734846,79.251,52.50518053,13.37344425,76.70019312
126661900,0.27241882,-0.091536353,1.542580023,3.037949881,52.5052022,13.3734794,79.275,52.50518055,13.3734398,76.70429885
126662100,0.174955714,-0.096950787,1.587207966,3.018994608,52.5052019,13.3734743,79.308,52.50518068,13.3734352,76.70837858
126662300,0.097900112,-0.099004072,1.613986146,2.999537521,52.5052027,13.3734692,79.23,52.50518096,13.37343051,76.71243357
126662500,0.053964074,-0.095838227,1.628659924,2.979787005,52.5052017,13.3734655,79.325,52.50518129,13.37342577,76.71646551
126662700,0.027657063,-0.106901573,1.636742987,2.959605624,52.5052008,13.3734614,79.361,52.50518156,13.37342101,76.72047629
126662900,-0.005297936,-0.107785647,1.63925887,2.937692824,52.5052007,13.3734583,79.374,52.505182,13.37341626,76.72446824
126663100,-0.065472189,-0.116522965,1.632809406,2.914985292,52.5051998,13.3734563,79.522,52.50518243,13.37341152,76.72844385
126663300,-0.166218646,-0.110804124,1.610287498,2.892696973,52.5051994,13.3734536,79.622,52.50518286,13.37340684,76.73240571
126663500,-0.290547277,-0.097716418,1.564744704,2.870734008,52.5051975,13.3734503,79.818,52.50518343,13.37340229,76.73635642
126663700,-0.393663042,-0.058559589,1.495492826,2.855490306,52.5051967,13.3734457,79.849,52.50518405,13.37339791,76.7402987
126663900,-0.427607323,-0.043912684,1.411902617,2.846177001,52.5051937,13.3734438,80.257,52.50518468,13.37339378,76.74423524
126664100,-0.368451428,-0.042929744,1.330763084,2.83736507,52.5051881,13.3734425,81.111,52.5051853,13.3733899,76.74816882
126664300,-0.244597809,-0.042561273,1.26886683,2.828917439,52.5051862,13.3734402,81.402,52.50518594,13.37338622,76.75210296
126664500,-0.120824406,-0.039875179,1.232828901,2.820695985,52.5051853,13.3734375,81.567,52.50518646,13.3733827,76.75604179
126664700,-0.041116074,-0.04122924,1.217507901,2.812664884,52.5051862,13.3734332,81.572,52.50518696,13.37337924,76.75998883
126664900,-0.009919479,-0.040442974,1.213103702,2.804925814,52.5051844,13.3734298,81.87,52.50518757,13.37337583,76.76394782
126665100,-0.006128618,-0.034820405,1.211716686,2.796854371,52.5051824,13.3734276,82.277,52.50518816,13.37337244,76.7679224
126665300,-0.006946249,-0.032447177,1.210378433,2.790137105,52.5051816,13.3734247,82.538,52.50518869,13.37336905,76.7719163
126665500,0.006378014,-0.029928374,1.20982785,2.78418459,52.5051812,13.3734217,82.724,52.50518923,13.37336567,76.77593309
126665700,0.059538319,-0.031838243,1.21555356,2.778138298,52.5051808,13.3734185,82.918,52.50518984,13.37336229,76.77997648
126665900,0.176488816,-0.029145285,1.23789546,2.772244664,52.505179,13.3734156,83.283,52.50519047,13.37335888,76.78405022
126666100,0.364566064,-0.038214474,1.290882539,2.765176445,52.5051793,13.3734113,83.273,52.50519114,13.37335539,76.78815789
126666300,0.610047951,-0.039630604,1.38751652,2.757406502,52.5051781,13.3734077,83.557,52.50519181,13.37335169,76.79230325
126666500,0.897949504,-0.042720108,1.537717559,2.748923906,52.5051786,13.373405,83.621,52.50519261,13.37334768,76.79649006
126666700,1.203297003,-0.043229557,1.747930466,2.740133184,52.5051788,13.3734014,83.75,52.50519361,13.37334317,76.80072163
126666900,1.469908887,-0.033370863,2.01649533,2.732777693,52.5051799,13.3733974,83.813,52.50519484,13.37333805,76.80500139
126667100,1.633665875,-0.02565761,2.3289384,2.72674355,52.5051791,13.3733931,84.157,52.50519614,13.37333214,76.80933275
